시도명,시군구명,동명,and_nm,비례의원수,지방명,광역의원선거구명,기초의원선거구명,기초의원선출수
전라북도,완주군,용진읍,전라북도 완주군 용진읍,2,완주군,제2선거구,다선거구,3
전라북도,완주군,고산면,전라북도 완주군 고산면,2,완주군,제2선거구,라선거구,2
전라북도,완주군,비봉면,전라북도 완주군 비봉면,2,완주군,제2선거구,라선거구,2
전라북도,완주군,운주면,전라북도 완주군 운주면,2,완주군,제2선거구,라선거구,2
전라북도,완주군,화산면,전라북도 완주군 화산면,2,완주군,제2선거구,라선거구,2
전라북도,완주군,동상면,전라북도 완주군 동상면,2,완주군,제2선거구,라선거구,2
전라북도,완주군,경천면,전라북도 완주군 경천면,2,완주군,제2선거구,라선거구,2
전라북도,진안군,진안읍,전라북도 진안군 진안읍,1,진안군,단일선거구,가선거구,3
전라북도,진안군,백운면,전라북도 진안군 백운면,1,진안군,단일선거구,가선거구,3
전라북도,진안군,성수면,전라북도 진안군 성수면,1,진안군,단일선거구,가선거구,3
전라북도,진안군,마령면,전라북도 진안군 마령면,1,진안군,단일선거구,가선거구,3
전라북도,진안군,용담면,전라북도 진안군 용담면,1,진안군,단일선거구,나선거구,3
전라북도,진안군,안천면,전라북도 진안군 안천면,1,진안군,단일선거구,나선거구,3
전라북도,진안군,동향면,전라북도 진안군 동향면,1,진안군,단일선거구,나선거구,3
전라북도,진안군,상전면,전라북도 진안군 상전면,1,진안군,단일선거구,나선거구,3
전라북도,진안군,부귀면,전라북도 진안군 부귀면,1,진안군,단일선거구,나선거구,3
전라북도,진안군,정천면,전라북도 진안군 정천면,1,진안군,단일선거구,나선거구,3
전라북도,진안군,주천면,전라북도 진안군 주천면,1,진안군,단일선거구,나선거구,3
전라북도,무주군,무주읍,전라북도 무주군 무주읍,1,무주군,단일선거구,가선거구,3
전라북도,무주군,적상면,전라북도 무주군 적상면,1,무주군,단일선거구,가선거구,3
전라북도,무주군,부남면,전라북도 무주군 부남면,1,무주군,단일선거구,가선거구,3
전라북도,무주군,무풍면,전라북도 무주군 무풍면,1,무주군,단일선거구,나선거구,3
전라북도,무주군,설천면,전라북도 무주군 설천면,1,무주군,단일선거구,나선거구,3
전라북도,무주군,안성면,전라북도 무주군 안성면,1,무주군,단일선거구,나선거구,3
전라북도,장수군,장수읍,전라북도 장수군 장수읍,1,장수군,단일선거구,가선거구,3
전라북도,장수군,산서면,전라북도 장수군 산서면,1,장수군,단일선거구,가선거구,3
전라북도,장수군,번암면,전라북도 장수군 번암면,1,장수군,단일선거구,가선거구,3
전라북도,장수군,장계면,전라북도 장수군 장계면,1,장수군,단일선거구,나선거구,3
